iter	Logloss
0	0.6911321373
1	0.6881576891
2	0.6852337354
3	0.6822379158
4	0.6799746095
5	0.6777841099
6	0.6746968355
7	0.671804981
8	0.6692988846
9	0.6668154399
10	0.6652841822
11	0.6632218609
12	0.6614547181
13	0.6591697968
14	0.6563868019
15	0.6541384208
16	0.6511116059
17	0.6487152918
18	0.6467621545
19	0.6443980046
20	0.6424199335
21	0.6403741278
22	0.63819724
23	0.6362604986
24	0.6347274059
25	0.6325737606
26	0.6302888595
27	0.6283237469
28	0.6262129886
29	0.6243323934
30	0.6223401708
31	0.6202384699
32	0.6178030104
33	0.6161363672
34	0.6146382109
35	0.613015527
36	0.6109441889
37	0.609208844
38	0.6077261139
39	0.6055658033
40	0.6031889749
41	0.6011088368
42	0.5990982647
43	0.5968085139
44	0.5951537047
45	0.5931897398
46	0.5911793346
47	0.5896385289
48	0.587540847
49	0.5859307063
50	0.5840421553
51	0.5829121076
52	0.5812661034
53	0.5792297926
54	0.5778613587
55	0.5755528792
56	0.5738191639
57	0.5719784028
58	0.5703513195
59	0.5688454608
60	0.5669364581
61	0.5650407803
62	0.5634857837
63	0.5614979933
64	0.5594476847
65	0.5576733966
66	0.5558181379
67	0.5538612071
68	0.5520571313
69	0.5502191313
70	0.548048986
71	0.5462063248
72	0.5448207229
73	0.5427748867
74	0.54140182
75	0.5397131747
76	0.5378070524
77	0.536300353
78	0.5345808617
79	0.5331204813
80	0.5313814588
81	0.5295940711
82	0.5281241812
83	0.5264129399
84	0.5246887115
85	0.5227984805
86	0.5210353649
87	0.5194453314
88	0.5179466027
89	0.5164954074
90	0.5150623724
91	0.5133879648
92	0.5120505835
93	0.5103156715
94	0.5084795559
95	0.5071503479
96	0.5055202611
97	0.5038942187
98	0.502235359
99	0.5008836142
100	0.4994588008
101	0.49752884
102	0.4964492826
103	0.4947913105
104	0.4939006595
105	0.4923901179
106	0.4907829759
107	0.4893256092
108	0.4876871688
109	0.4863994781
110	0.484662227
111	0.4827885228
112	0.4813236589
113	0.4800070274
114	0.4790765264
115	0.477642493
116	0.4763941867
117	0.4751170039
118	0.4734630198
119	0.4720938645
120	0.4704866161
121	0.4689795874
122	0.4676222253
123	0.4661285145
124	0.4645558748
125	0.4631229914
126	0.4619167565
127	0.4605446519
128	0.4598719191
129	0.4583403299
130	0.4574090235
131	0.4561938483
132	0.4551611033
133	0.453886128
134	0.4524599248
135	0.4510810525
136	0.4499663109
137	0.4487277941
138	0.4476397008
139	0.4464428673
140	0.4454541402
141	0.4438020561
142	0.4427470233
143	0.4416745882
144	0.4404387383
145	0.4391425003
146	0.4380118529
147	0.4368301781
148	0.4348921246
149	0.433881915
150	0.4327344691
151	0.4317735695
152	0.4303019927
153	0.4290933912
154	0.4280381416
155	0.4269540948
156	0.4261283993
157	0.4248003692
158	0.4238056318
159	0.422168139
160	0.4209782116
161	0.4200838998
162	0.4185014401
163	0.4176290233
164	0.4165605637
165	0.4153308809
166	0.4141526602
167	0.4128183729
168	0.4113822973
169	0.4104019765
170	0.4096048199
171	0.4086496729
172	0.4073101098
173	0.4064116805
174	0.4054945161
175	0.4043548357
176	0.4032128015
177	0.4020885294
178	0.4009702192
179	0.3995222596
180	0.3983251971
181	0.3972693332
182	0.3963313727
183	0.3950765708
184	0.3940296958
185	0.3932406195
186	0.3923903056
187	0.391495808
188	0.390322342
189	0.3893805934
190	0.3884392148
191	0.3875973907
192	0.3864089089
193	0.3856245022
194	0.3846240507
195	0.3837834153
196	0.3828828408
197	0.3817475056
198	0.3809435997
199	0.3801140822
200	0.3792534481
201	0.3784695609
202	0.3774353573
203	0.3763879295
204	0.3753662594
205	0.3740894217
206	0.3727760473
207	0.3717399187
208	0.3709257755
209	0.3702075904
210	0.3694530492
211	0.3682980066
212	0.3671302466
213	0.365997742
214	0.3653720536
215	0.3647334713
216	0.3638743885
217	0.3626392197
218	0.3617731371
219	0.3607714217
220	0.3596461808
221	0.3583838079
222	0.3577682091
223	0.3568231577
224	0.355773334
225	0.3546824146
226	0.3536229107
227	0.3529121807
228	0.3520150206
229	0.3502997382
230	0.3494155673
231	0.3487794371
232	0.3480049297
233	0.3470357532
234	0.3461573521
235	0.3453778376
236	0.3446457157
237	0.3436364711
238	0.3428122836
239	0.3418367777
240	0.3408824323
241	0.3399444017
242	0.3395529785
243	0.3390176176
244	0.3380266052
245	0.3371900595
246	0.3365339173
247	0.3359226168
248	0.3351007036
249	0.3342620755
250	0.333466164
251	0.3328377974
252	0.3320001299
253	0.3312443269
254	0.3303144794
255	0.3292016922
256	0.3285808444
257	0.3278488412
258	0.3268090109
259	0.3261884195
260	0.3252997164
261	0.3241406115
262	0.3233851691
263	0.3227579309
264	0.3221875563
265	0.3215003295
266	0.3207248596
267	0.3201131945
268	0.3194823749
269	0.3187876185
270	0.3178333776
271	0.3168832765
272	0.3161424812
273	0.315348676
274	0.3144910561
275	0.3137493144
276	0.3127707192
277	0.3121793145
278	0.3115046706
279	0.3108325557
280	0.3096561
281	0.309041508
282	0.3082998134
283	0.3076614652
284	0.3069490419
285	0.3061424834
286	0.305284556
287	0.3045030456
288	0.3038471176
289	0.3031224905
290	0.3025498804
291	0.3018396174
292	0.3011438453
293	0.3006169448
294	0.3000068488
295	0.298925057
296	0.2981375982
297	0.2974555951
298	0.2968546322
299	0.2962090966
300	0.2952073309
301	0.2945721056
302	0.2940349181
303	0.2936535889
304	0.2930097798
305	0.2923262961
306	0.2917513418
307	0.2907608237
308	0.2901033595
309	0.2893586497
310	0.2888586366
311	0.2884408342
312	0.2875622757
313	0.2869508282
314	0.2863939125
315	0.2858453355
316	0.2852126184
317	0.2847935632
318	0.2842579956
319	0.2837104911
320	0.2830941239
321	0.2823866612
322	0.281840709
323	0.2808786369
324	0.2803259948
325	0.2797649728
326	0.279058337
327	0.2785733545
328	0.278152414
329	0.2776367751
330	0.277117681
331	0.2765639389
332	0.275857764
333	0.2754586532
334	0.2750404723
335	0.274531539
336	0.2739537421
337	0.2733986034
338	0.2726392526
339	0.2720892658
340	0.2715690276
341	0.2710160171
342	0.2702697258
343	0.2696224813
344	0.2690527063
345	0.2686664763
346	0.2680956433
347	0.2676695034
348	0.2671377475
349	0.2664162294
350	0.2660136029
351	0.2653588207
352	0.2647373357
353	0.2643320655
354	0.2634043106
355	0.2628635629
356	0.2623406639
357	0.2617767273
358	0.2612205445
359	0.260586405
360	0.260163672
361	0.2597881638
362	0.2592728379
363	0.2587347818
364	0.2584665754
365	0.257919817
366	0.2574694102
367	0.2570220644
368	0.256581708
369	0.255958906
370	0.255293918
371	0.2547435702
372	0.2542326359
373	0.2534889212
374	0.252949737
375	0.252379924
376	0.2519112175
377	0.2515177204
378	0.2510796036
379	0.2506708291
380	0.2499694196
381	0.2495210259
382	0.2490717157
383	0.2485778524
384	0.2483597264
385	0.24798976
386	0.2476003198
387	0.2471150127
388	0.2464306267
389	0.2460417936
390	0.245604254
391	0.2450460089
392	0.2445019888
393	0.2437007873
394	0.2432490953
395	0.2426168678
396	0.2421774497
397	0.2417150244
398	0.241184184
399	0.2409212924
400	0.2406959018
401	0.2402737784
402	0.2400305307
403	0.2395470313
404	0.2391708495
405	0.2388429047
406	0.2382539049
407	0.2379905107
